0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0.6419871,0.6740125,0.7092643,0.72327316,0.7037362,0.72322786,0.70609283,0.69206625,0.6093683,0.57421696,0.5520302,0.5507186,0.5660935,0.566174,0.5396284,0.54049873,0.5343138,0.52956814,0.56841564,0.5978422,0.5807766,0.57015735,0.56654835,0.5747485,0.5784584,0.58132833,0.5872837,0.5958822,0.6075984,0.6018857,0.6060834,0.60863733,0.5919981,0.5526327,0.5285419,0.50602305,0.5230852,0.51522315,0.54575205,0.588915,0.5680941,0.5626167,0.562626,0.55696183,0.5374153,0.49698693,0.46927434,0.45902556,0.42713124,0.4093678,0.39884782,0.3852064,0.3822364,0.36765456,0.3643868,0.3489111,0.37042832,0.38899338,0.42579108,0.45899767,0.50312686,0.58745134,0.6391629,0.5922487
-0.9343432,-1.1149864,-1.2460716,-1.3341234,-1.4650447,-1.4777272,-1.4901967,-1.4691305,-1.3757937,-1.3043375,-1.214556,-1.1034586,-0.8794428,-0.7891214,-0.81336,-0.78345156,-0.60244274,-0.52422297,-0.50361276,-0.48589364,-0.45174688,-0.45801735,-0.49272132,-0.52213717,-0.5740782,-0.66341925,-0.7622001,-0.8186488,-0.8461206,-0.86664593,-0.8954072,-0.91603565,-0.8745254,-0.8782786,-0.9063853,-0.89976895,-0.91686594,-0.9289334,-0.9455,-0.9141091,-0.8433169,-0.7478801,-0.65920806,-0.59310454,-0.52948904,-0.44888186,-0.36559713,-0.36176488,-0.24343939,-0.19669244,-0.21986818,-0.1719577,-0.21854983,-0.16299161,-0.13606168,-0.10246028,-0.1899254,-0.1822608,-0.23675585,-0.16452321,-0.24862629,-0.15389037,-0.23830548,-0.22232918
0.6010952,0.59305817,0.571777,0.53343457,0.49469656,0.47579235,0.42734134,0.3939172,0.38689828,0.3527791,0.30461603,0.244111,0.20804293,0.2183373,0.2247936,0.22703508,0.1749346,0.18669298,0.19408718,0.20326898,0.22700484,0.23642844,0.24856329,0.25782204,0.23156346,0.21846177,0.19474804,0.13861924,0.06845398,-0.014927028,-0.06446855,-0.045124,0.00921944,0.03496006,0.030948438,-0.057196468,-0.1164219,-0.14938298,-0.11692918,-0.001794951,0.15933634,0.3329637,0.5106715,0.66745365,0.80850375,0.8988623,0.94878054,0.99458027,1.0004088,1.0295241,1.0784569,1.139185,1.1906455,1.2324209,1.3042738,1.3635302,1.39679,1.3997717,1.4150548,1.4340608,1.4787173,1.5212803,1.5629666,1.5478963
-1.5599589,-1.6087921,-1.5629413,-1.5660355,-1.5863543,-1.5944757,-1.5950823,-1.6366804,-1.6317,-1.6354175,-1.6522138,-1.6887236,-1.7532067,-1.758177,-1.7976246,-1.8300335,-1.8928552,-1.8898089,-1.9186032,-1.956378,-1.9418101,-1.9452093,-1.9716256,-1.9907938,-2.0441244,-2.035879,-2.0438924,-2.049642,-2.0754344,-2.0657012,-2.0761385,-2.0476847,-2.0271957,-2.0242443,-2.0258307,-2.058412,-2.0841823,-2.10319,-2.1690102,-2.1986284,-2.241016,-2.2653642,-2.2990696,-2.3123207,-2.3425221,-2.3506477,-2.383505,-2.3558517,-2.3943682,-2.4125133,-2.4608743,-2.4856293,-2.5551672,-2.5391889,-2.5581157,-2.559484,-2.6904023,-2.6869397,-2.713979,-2.7671304,-2.8655493,-2.8534827,-2.843431,-2.8116734
0.6112907,0.6119275,0.6139722,0.61174667,0.60162663,0.6085423,0.5968106,0.5955132,0.6285255,0.64865005,0.65230465,0.6660679,0.6622331,0.6453657,0.6188031,0.62956667,0.66474736,0.68291616,0.70263386,0.69026935,0.68838406,0.6906734,0.711643,0.7317927,0.72197914,0.7396598,0.7575897,0.7583115,0.7835264,0.7982429,0.81323576,0.8334123,0.807901,0.8160958,0.83474934,0.84772015,0.88764715,0.89902663,0.89045537,0.8702842,0.8731127,0.86557686,0.86951756,0.86887777,0.8933475,0.90038407,0.94388986,0.9725028,1.0009791,1.0361793,1.0446143,1.033109,1.0114695,1.0027026,0.9971577,0.99220264,1.0012122,1.0057213,1.0150987,1.00099,0.993894,1.0471156,1.058559,1.0882323
1.100802,1.0073115,0.9264841,0.8536365,0.79882526,0.8293961,0.8740814,0.9409894,1.0324912,1.0779698,1.1324627,1.1447873,1.1249487,1.1108152,1.1249353,1.1249834,1.1269189,1.1454988,1.1620297,1.1542647,1.1690767,1.1958748,1.2308375,1.2536782,1.2304952,1.1725574,1.0820583,1.0127496,0.9079101,0.83902836,0.8083372,0.79945016,0.8143636,0.7835752,0.76479125,0.6864413,0.56649804,0.52452093,0.6048439,0.7369474,0.9112351,0.9992243,1.0597911,1.0843794,1.0663838,1.0444226,1.018534,1.0133252,1.0007318,0.99314165,0.9800813,0.9683007,0.9512714,0.9094044,0.91156423,0.91424906,0.8650017,0.8323761,0.7760949,0.7574394,0.78266144,0.7452116,0.6799083,0.76807046
-0.4612298,-0.4352643,-0.39876842,-0.36243838,-0.35365123,-0.2922595,-0.25667664,-0.24682017,-0.2297611,-0.21999261,-0.20418465,-0.19751093,-0.19592938,-0.1859275,-0.15669201,-0.15464121,-0.11927447,-0.11042446,-0.08183791,-0.06400978,-0.04259423,-0.043749724,-0.031661633,-0.0140159,0.016322935,0.0724188,0.14096627,0.1893983,0.26506224,0.30297664,0.33383578,0.36289436,0.41792768,0.46187764,0.48383248,0.51522464,0.57731706,0.63250625,0.6184342,0.59069216,0.46611243,0.3678969,0.285271,0.23232786,0.21208522,0.18733662,0.16460589,0.13987468,0.14726844,0.13412061,0.1289465,0.12433625,0.15503928,0.15633908,0.16066083,0.15205753,0.17103297,0.19228633,0.21117991,0.22891355,0.22391091,0.21508689,0.15033174,0.08848079
-1.2529626,-1.3189769,-1.3015759,-1.3017695,-1.3243711,-1.3400764,-1.3644779,-1.4084165,-1.4399545,-1.4689498,-1.4981089,-1.509891,-1.5306156,-1.5298042,-1.539865,-1.5459654,-1.5472949,-1.5226715,-1.5144193,-1.540482,-1.522649,-1.5324278,-1.567131,-1.5860431,-1.6054862,-1.610889,-1.6126688,-1.60308,-1.5673227,-1.5444801,-1.5264378,-1.5048556,-1.4882317,-1.4918437,-1.4950364,-1.4868107,-1.4421132,-1.4366436,-1.4849336,-1.5441916,-1.577353,-1.6191664,-1.6482222,-1.6423683,-1.6167471,-1.6183183,-1.6380398,-1.6483316,-1.6519673,-1.6641295,-1.6519449,-1.6356483,-1.6011188,-1.6086233,-1.5955682,-1.5553288,-1.4895198,-1.4702566,-1.4466429,-1.4262464,-1.436609,-1.4282367,-1.4944346,-1.5427765
-0.21805245,-0.18893597,-0.15049905,-0.14525875,-0.1693443,-0.17516813,-0.18274629,-0.20785913,-0.20281276,-0.20528822,-0.198042,-0.18709812,-0.16319522,-0.14551027,-0.12969217,-0.1240849,-0.07946797,-0.07874502,-0.053277068,-0.05674776,-0.020021865,-0.028270986,-0.018092195,-0.037783135,-0.044602897,-0.087450385,-0.09399471,-0.132182,-0.14364538,-0.15996447,-0.1888515,-0.22361936,-0.21845073,-0.2238133,-0.24002764,-0.25123537,-0.2742151,-0.26761895,-0.22609168,-0.097267196,0.05712064,0.20008522,0.28642905,0.35779607,0.41581184,0.45028216,0.46214938,0.47203338,0.48396385,0.5171263,0.5593559,0.5871177,0.61191916,0.646618,0.65484715,0.6554506,0.65389395,0.6383976,0.6774533,0.6874707,0.67235184,0.67978317,0.68660617,0.66534185
-1.1973226,-1.284941,-1.3024344,-1.3357053,-1.4084361,-1.4206319,-1.4320145,-1.4273775,-1.3874192,-1.3677773,-1.35116,-1.3342524,-1.2995002,-1.2935376,-1.306601,-1.3557754,-1.364832,-1.3302898,-1.3264055,-1.3241556,-1.2786152,-1.2658546,-1.271569,-1.2885859,-1.3130987,-1.3391242,-1.3584399,-1.3832607,-1.4018884,-1.3840687,-1.3826795,-1.4104562,-1.4286809,-1.4260023,-1.4425275,-1.4414365,-1.4317443,-1.4452205,-1.4615991,-1.4779251,-1.5083809,-1.5024097,-1.4912491,-1.4932957,-1.512816,-1.536608,-1.543222,-1.572022,-1.587323,-1.5858808,-1.5791132,-1.5856054,-1.5955858,-1.6020126,-1.5869777,-1.5823662,-1.5922985,-1.5865402,-1.5884418,-1.6118791,-1.6865294,-1.7609142,-1.7944775,-1.6865907
